AtcoCode,NaptanCode,PlateCode,CleardownCode,CommonName,CommonNameLang,ShortCommonName,ShortCommonNameLang,Landmark,LandmarkLang,Street,StreetLang,Crossing,CrossingLang,Indicator,IndicatorLang,Bearing,NptgLocalityCode,LocalityName,ParentLocalityName,GrandParentLocalityName,Town,TownLang,Suburb,SuburbLang,LocalityCentre,GridType,Easting,Northing,Longitude,Latitude,StopType,BusStopType,TimingStatus,DefaultWaitTime,Notes,NotesLang,AdministrativeAreaCode,CreationDateTime,ModificationDateTime,RevisionNumber,Modification,Status
0180BAC30152,bthjgwa,,,Bear Flat,en,,,,,Wellsway,en,,,stop B,en,S,N0078122,Bear Flat,Bath,,,,,,0,U,374595,163898,-2.36638,51.37356,BCT,MKD,OTH,,,,1,2013-03-11T16:46:17,2013-03-11T16:46:17,,new,act
0180BAC30153,bthjgwd,,,Bear Flat,en,,,,,Wellsway,en,,,stop C,en,S,N0078122,Bear Flat,Bath,,,,,,0,U,374599,163855,-2.36632,51.37318,BCT,MKD,OTH,,,,1,2013-03-11T16:46:17,2013-03-11T16:46:17,,new,act
0180BAC30155,bthjgtd,,,Bloomfield Road Bottom,en,,,,,Bloomfield Road,en,,,N-Bound,en,N,N0078122,Bear Flat,Bath,,,,,,0,U,374580,163792,-2.36659,51.37261,BCT,MKD,OTH,,,,1,2013-03-11T16:46:17,2013-03-11T16:46:17,,new,act
0180BAC30156,bthjgpj,,,St Lukes Church,en,,,,,Bloomfield Road,en,,,S-Bound,en,S,N0078121,Bloomfield,Bath,,,,,,0,U,374523,163445,-2.36739,51.36949,BCT,MKD,OTH,,,,1,2013-03-11T16:46:17,2013-03-11T16:46:17,,new,act
0180BAC30157,bthjgpg,,,St Lukes Church,en,,,,,Bloomfield Road,en,,,N-Bound,en,N,N0078121,Bloomfield,Bath,,,,,,0,U,374514,163446,-2.36751,51.36949,BCT,MKD,OTH,,,,1,2013-03-11T16:46:17,2013-03-11T16:46:17,,new,act
0180BAC30158,bthjgjm,,,Hatfield Road,en,,,,,Bloomfield Road,en,,,SW-Bound,en,SW,N0078121,Bloomfield,Bath,,,,,,0,U,374414,163234,-2.36894,51.36758,BCT,MKD,OTH,,,,1,2013-03-11T16:46:17,2013-03-11T16:46:17,,new,act
0180BAC30159,bthjgmg,,,Hatfield Road,en,,,,,Bloomfield Road,en,,,NE-Bound,en,NE,N0078121,Bloomfield,Bath,,,,,,0,U,374454,163305,-2.36837,51.36822,BCT,MKD,OTH,,,,1,2013-03-11T16:46:17,2013-03-11T16:46:17,,new,act
0180BAC30160,bthjdmw,,,Bloomfield Road,en,,,,,Bloomfield Road,en,,,o/s 227,en,W,N0078121,Bloomfield,Bath,,,,,,0,U,374100,162983,-2.37343,51.36531,BCT,CUS,OTH,,,,1,2013-03-11T16:46:17,2013-03-11T16:46:17,,new,act
0180BAC30161,bthjdmt,,,Bloomfield Road,en,,,,,Bloomfield Road,en,,,o/s 228,en,E,N0078121,Bloomfield,Bath,,,,,,0,U,374098,162994,-2.37346,51.36541,BCT,MKD,OTH,,,,1,2013-03-11T16:46:17,2013-03-11T16:46:17,,new,act
0180BAC30162,bthjdap,,,Bloomfield Crescent,en,,,,,Bloomfield Road,en,,,NE-Bound,en,NE,E0035066,Odd Down,Bath,,,,,,0,U,373890,162898,-2.37644,51.36454,BCT,MKD,OTH,,,,1,2013-03-11T16:46:18,2013-03-11T16:46:18,,new,act
